set	status	total_count	n_rows_returned
ParametrosViews	200	47	1
CampanhaViews	200	0	0
SolicitacaoCaixinhaViews	200	0	0
CaixinhaViews	200	0	0
CargoFavoritoViews	200	0	0
TipoEnderecoViews	200	0	0
CargoViews	200	0	0
SolicitacaoPagamentoUnicoViews	200	0	0
FormaCorrecaoAreaJuridicaViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Object reference not set to an instance of	0
SolicitacaoPagamentoClienteViews	200	0	0
SolicitacaoPagamentoInstitucionalViews	200	0	0
BancoViews	200	12	1
FormaCorrecaoAreaViews	200	0	0
ProjetoSaldoViews	200	0	0
SolicitacaoPagamentoUnicoItemViews	200	0	0
SolicitacaoPagamentoEscritorioViews	200	0	0
RotinaViews	200	27	1
PrestacaoContaClienteViews	200	0	0
PrestacaoContaInstitucionalViews	200	0	0
CasoFavoritoViews	200	26	1
ServicoWebViews	200	18	1
PrestacaoContaEscritorioViews	200	0	0
ChamadaViews	200	33	1
OrdemViews	200	54	1
ParametroServicoViews	200	128	1
AcessoExcecaoProfissionalViews	200	0	0
AcessoExcecaoViews	200	0	0
OportunidadeMotivoPerdaViews	200	0	0
MenuFavoritoViews	200	69	1
ImportacaoColetorViews	200	0	0
ImportacaoColetorItemViews	200	0	0
PreFaturaFixoViews	200	0	0
PendenciaEmailViews	400	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Value cannot be null.\r\nParameter name: c	0
PreFaturaContratoViews	200	4204	1
PreFaturaRevisoresViews	200	0	0
MailServidorViews	200	1	1
ProjetoGrupoJuridicoViews	200	0	0
GrupoJuridicoRelatViews	200	6	1
PreFaturaAcessoExcecaoViews	200	1	1
ProfissionalRelatViews	200	69	1
FornecedorPlanoContaCompletoViews	200	0	0
RegraEmailViews	200	1	1
AlertaVinculoViews	200	0	0
AlertaViews	200	1	1
OportunidadeOrigemViews	200	0	0
OportunidadeParticipacaoViews	200	0	0
OportunidadeEtapaViews	200	0	0
NovaDespesaPreFaturaViews	200	26	1
OportunidadeHistoricoViews	200	0	0
MotivoPerdaViews	200	3	1
TipoOfertaViews	200	0	0
NovoTabeladoPreFaturaViews	200	0	0
OportunidadeValorViews	200	0	0
OportunidadeContatoViews	200	0	0
OportunidadeViews	200	0	0
NovoTimesheetPreFaturaViews	200	2245	1
OfertaViews	200	0	0
